1,RP-23-SG6-1,SG6,7,Rock Clast ,54,Clast from C2 horizon w/ calcium carbonate coating (due to weathering/leeching in modern day soil),7.5YR 5-2,2023-06-06,,,3
2,RP23-SG6-2,SG6,7,Basalt Clast,23,Mostly unweathered Umatilla basalt clast from R horizon,10YR 5-1,2023-06-06,,,4
3,RP23-SG6-3,SG6,7,Baked Soil,-3,"From cooked layer, not quite sure what this represents (could be cooked soil), crumbly, lots of mineral grains",10YR 4-1,2023-06-06,,,5
4,RP23-SG6-4,SG6,7,Pebbly/Powdery Sample,-19,"Pebbly, has small dark brown/red pebbles (about 1-3 cm in diameter) and yellow/green kryptocrystalline material. ",7.5YR 4-2,2023-06-06,,,6
5,RP23-SG6-5,SG6,7,Basalt Clast,-44,"Basalt clast that is highly weathered and very vesicular, vesicles are filled with iron and magnesium oxides, ",basalt: 10YR 5-1 yellow: 5Y 6-6,2023-06-06,,,7
6,RP23-SG6-6,SG6,7,Basalt Chunk,-76,"Sample is taken from a basalt core within layer 8, has moderate weathering, and vesicles filled with primarily yellow powder",2.5Y 4-1,2023-06-06,,,8
7,RP23-SG6-7,SG6,7,Powdery Unknown Mineral,-76,"Sample is from the vesicles of previous sample (RP23-SG6-6), yellow powdery minerals ",not enough sample,2023-06-06,,,8
8,RP23-SG6-8,SG6,7,Highly fractured basalt under contact,-87,"Intensively weathered basalt, very less original primary minerals remain",7.5YR 5-4,2023-06-06,328,124,9
9,RP23-SG6-9,SG6,7,Loose Material,-115,"Layer grades down towards less weathering, reddish on top, black on bottom. Pervassive joints vertically and horizontally ",10YR 3-1,2023-06-06,,,10
10,RP23-SG6-10,SG6,7,Basalt Corestone,-115,"Layer grades down towards less weathering, reddish on top, black on bottom. Pervassive joints vertically and horizontally ",10YR 5-2,2023-06-06,,,10
11,RP23-SG6-11,SG6,7,Basalt Corestone,-140,"Layer grades down towards less weathering, reddish on top, black on bottom. Pervassive joints vertically and horizontally ",7.5YR 5-2,2023-06-06,,,10
12,RP23-SG6-12,SG6,7,Matrix Material ,-171,"Very weathered material from layer 11 that surrounds the ghost-cores, matrix was very crumbly",7.5YR 7-1,2023-06-06,,,11
13,RP23-SG6-13,SG6,7,Basalt Corestone,-167,"Basalt ghost core, moderate weathering, vesicular",7.5YR 2.5-1,2023-06-06,,,11
14,RP23-SG6-14,SG6,7,Drill-Core of Basalt,-230,"Core from the top of rock, going down into the bedrock, slightly more weathered that sample below (RP23-SG6-15)",2.5Y 5-1,2023-06-06,,,12
